id,product_category,revenue,region
1,Electronics,585,North
2,Home,730,East
3,Beauty,8785,North
4,Clothing,4575,South
5,Sports,8703,North
6,Home,8862,North
7,Home,5615,West
8,Beauty,7762,South
9,Clothing,578,North
10,Home,8719,East
11,Home,7756,South
12,Clothing,5868,North
13,Home,7594,South
14,Clothing,1752,West
15,Electronics,2422,East
16,Clothing,3496,North
17,Clothing,3711,East
18,Electronics,6237,South
19,Beauty,7003,West
20,Sports,7520,South
21,Beauty,1404,South
22,Beauty,6159,West
23,Beauty,712,East
24,Electronics,7285,North
25,Clothing,5075,East
26,Electronics,9172,South
27,Beauty,267,East
28,Sports,4137,East
29,Beauty,2880,North
30,Sports,9023,West
31,Beauty,1770,West
32,Clothing,641,North
33,Clothing,9252,South
34,Clothing,431,East
35,Electronics,8343,North
36,Beauty,7018,East
37,Sports,9805,North
38,Clothing,3371,South
39,Clothing,6879,South
40,Electronics,592,West
41,Electronics,3067,East
42,Clothing,6521,East
43,Electronics,2834,East
44,Home,9119,South
45,Sports,5672,South
46,Clothing,4931,East
47,Clothing,7261,East
48,Home,9840,West
49,Sports,6207,East
50,Beauty,9467,South
51,Beauty,4125,North
52,Clothing,7055,South
53,Home,4789,South
54,Clothing,1987,North
55,Sports,3505,North
56,Home,6062,East
57,Clothing,5384,North
58,Clothing,5641,West
59,Electronics,5445,South
60,Home,9777,West
61,Sports,371,South
62,Sports,8784,North
63,Beauty,7287,West
64,Sports,4458,South
65,Beauty,7696,South
66,Electronics,2525,North
67,Sports,3476,East
68,Clothing,5427,North
69,Sports,3286,South
70,Home,505,West
71,Home,7565,North
72,Clothing,8708,West
73,Home,1965,South
74,Sports,7380,West
75,Electronics,5977,East
76,Sports,7004,West
77,Home,8689,West
78,Home,5559,West
79,Clothing,3972,East
80,Electronics,9297,West
81,Beauty,8623,South
82,Sports,8184,East
83,Beauty,7096,South
84,Electronics,9774,West
85,Electronics,5001,East
86,Sports,9958,West
87,Clothing,7242,East
88,Beauty,4186,South
89,Clothing,8357,North
90,Clothing,999,West
91,Sports,839,East
92,Sports,2280,East
93,Beauty,6139,North
94,Home,9960,East
95,Sports,2999,East
96,Home,7815,South
97,Beauty,7212,West
98,Beauty,8307,West
99,Electronics,3441,East
100,Clothing,7278,South
